Monday,Friday,Monday_growth,Friday_growth,Growth difference
2022-08-22,2022-08-26,-1.89,-1.05,0.84
2022-08-29,2022-09-02,-2.18,0.64,2.82
2022-09-12,2022-09-16,1.27,-1.65,-2.92
2022-09-19,2022-09-23,0.27,-2.2,-2.47
2022-09-26,2022-09-30,-0.19,-0.57,-0.38
2022-10-03,2022-10-07,0.66,-2.78,-3.44
2022-10-10,2022-10-14,-1.19,1.6,2.79
2022-10-17,2022-10-21,0.5,0.17,-0.33
2022-10-24,2022-10-28,1.99,0.65,-1.34
2022-10-31,2022-11-04,0.56,0.76,0.2
2022-11-07,2022-11-11,0.98,1.64,0.66
2022-11-14,2022-11-18,0.24,0.7,0.46
2022-11-21,2022-11-25,-0.26,0.28,0.54
2022-11-28,2022-12-02,-1.08,-0.54,0.54
2022-12-05,2022-12-09,-0.87,0.0,0.87
2022-12-12,2022-12-16,0.2,-1.52,-1.72
2022-12-19,2022-12-23,-0.83,0.33,1.16
2023-01-09,2023-01-13,1.62,0.21,-1.41
2023-01-23,2023-01-27,1.78,0.84,-0.94
2023-01-30,2023-02-03,-0.78,-0.38,0.4
2023-02-06,2023-02-10,-1.06,-0.86,0.2
2023-02-13,2023-02-17,0.94,-1.17,-2.11
2023-02-27,2023-03-03,0.89,1.57,0.68
2023-03-06,2023-03-10,0.99,-1.84,-2.83
2023-03-13,2023-03-17,-0.85,0.4,1.25
2023-03-20,2023-03-24,0.17,-0.57,-0.74
2023-03-27,2023-03-31,1.17,0.95,-0.22
2023-04-10,2023-04-14,0.06,0.32,0.26
2023-04-17,2023-04-21,-0.02,-0.14,-0.12
2023-04-24,2023-04-28,0.1,1.02,0.92
2023-05-01,2023-05-05,0.65,1.24,0.59
2023-05-08,2023-05-12,0.42,0.01,-0.41
2023-05-15,2023-05-19,0.11,0.45,0.34
2023-05-22,2023-05-26,-0.05,0.89,0.94
2023-06-05,2023-06-09,0.4,0.65,0.25
2023-06-12,2023-06-16,0.35,0.61,0.26
2023-06-26,2023-06-30,-0.2,1.26,1.46
2023-07-03,2023-07-07,0.2,0.34,0.14
2023-07-10,2023-07-14,-0.4,0.23,0.63
2023-07-17,2023-07-21,0.12,-0.02,-0.14
2023-07-24,2023-07-28,0.15,0.2,0.05
2023-07-31,2023-08-04,0.14,0.11,-0.03
2023-08-07,2023-08-11,-0.04,-0.72,-0.68
2023-08-14,2023-08-18,0.26,-0.78,-1.04
2023-08-21,2023-08-25,0.58,-0.67,-1.25
2023-08-28,2023-09-01,0.91,0.03,-0.88
2023-09-11,2023-09-15,0.41,-0.51,-0.92
2023-09-18,2023-09-22,-0.41,-0.36,0.05
2023-09-25,2023-09-29,-0.38,0.31,0.69
2023-10-02,2023-10-06,-0.55,0.6,1.15
2023-10-09,2023-10-13,0.96,-0.25,-1.21
2023-10-16,2023-10-20,0.42,-1.27,-1.69
2023-10-23,2023-10-27,-0.64,-0.61,0.03
2023-10-30,2023-11-03,0.6,1.4,0.8
2023-11-06,2023-11-10,0.14,0.39,0.25
2023-11-13,2023-11-17,0.5,0.22,-0.28
2023-11-20,2023-11-24,0.53,-0.0,-0.53
2023-11-27,2023-12-01,-0.07,0.52,0.59
2023-12-04,2023-12-08,-0.38,0.3,0.68
2023-12-11,2023-12-15,0.37,-0.03,-0.4
2023-12-18,2023-12-22,0.48,0.56,0.08
2024-01-08,2024-01-12,0.65,0.35,-0.3
2024-01-22,2024-01-26,0.88,0.21,-0.67
2024-01-29,2024-02-02,0.29,1.26,0.97
2024-02-05,2024-02-09,-0.08,0.43,0.51
2024-02-12,2024-02-16,0.35,0.06,-0.29
2024-02-26,2024-03-01,-0.25,0.66,0.91
2024-03-04,2024-03-08,0.41,0.13,-0.28
2024-03-11,2024-03-15,-0.88,-0.57,0.31
2024-03-18,2024-03-22,0.78,-0.25,-1.03
