Monday,Friday,Monday_growth,Friday_growth,Growth difference
2022-10-17,2022-10-14,0.5,1.6,-1.1
2022-10-24,2022-10-21,1.99,0.17,1.82
2022-10-31,2022-10-28,0.56,0.65,-0.09
2022-11-07,2022-11-04,0.98,0.76,0.22
2022-11-14,2022-11-11,0.24,1.64,-1.4
2022-11-21,2022-11-18,-0.26,0.7,-0.96
2022-11-28,2022-11-25,-1.08,0.28,-1.36
2022-12-05,2022-12-02,-0.87,-0.54,-0.33
2022-12-12,2022-12-09,0.2,0.0,0.2
2022-12-19,2022-12-16,-0.83,-1.52,0.69
2023-01-09,2023-01-06,1.62,0.96,0.66
2023-01-23,2023-01-20,1.78,0.8,0.98
2023-01-30,2023-01-27,-0.78,0.84,-1.62
2023-02-06,2023-02-03,-1.06,-0.38,-0.68
2023-02-13,2023-02-10,0.94,-0.86,1.8
2023-02-27,2023-02-24,0.89,-0.95,1.84
2023-03-06,2023-03-03,0.99,1.57,-0.58
2023-03-13,2023-03-10,-0.85,-1.84,0.99
2023-03-20,2023-03-17,0.17,0.4,-0.23
2023-03-27,2023-03-24,1.17,-0.57,1.74
2023-04-03,2023-03-31,0.73,0.95,-0.22
2023-04-17,2023-04-14,-0.02,0.32,-0.34
2023-04-24,2023-04-21,0.1,-0.14,0.24
2023-05-01,2023-04-28,0.65,1.02,-0.37
2023-05-08,2023-05-05,0.42,1.24,-0.82
2023-05-15,2023-05-12,0.11,0.01,0.1
2023-05-22,2023-05-19,-0.05,0.45,-0.5
2023-06-05,2023-06-02,0.4,1.52,-1.12
2023-06-12,2023-06-09,0.35,0.65,-0.3
2023-06-26,2023-06-23,-0.2,-0.3,0.1
2023-07-03,2023-06-30,0.2,1.26,-1.06
2023-07-10,2023-07-07,-0.4,0.34,-0.74
2023-07-17,2023-07-14,0.12,0.23,-0.11
2023-07-24,2023-07-21,0.15,-0.02,0.17
2023-07-31,2023-07-28,0.14,0.2,-0.06
2023-08-07,2023-08-04,-0.04,0.11,-0.15
2023-08-14,2023-08-11,0.26,-0.72,0.98
2023-08-21,2023-08-18,0.58,-0.78,1.36
2023-08-28,2023-08-25,0.91,-0.67,1.58
2023-09-11,2023-09-08,0.41,0.38,0.03
2023-09-18,2023-09-15,-0.41,-0.51,0.1
2023-09-25,2023-09-22,-0.38,-0.36,-0.02
2023-10-02,2023-09-29,-0.55,0.31,-0.86
2023-10-09,2023-10-06,0.96,0.6,0.36
2023-10-16,2023-10-13,0.42,-0.25,0.67
2023-10-23,2023-10-20,-0.64,-1.27,0.63
2023-10-30,2023-10-27,0.6,-0.61,1.21
2023-11-06,2023-11-03,0.14,1.4,-1.26
2023-11-13,2023-11-10,0.5,0.39,0.11
2023-11-20,2023-11-17,0.53,0.22,0.31
2023-11-27,2023-11-24,-0.07,-0.0,-0.07
2023-12-04,2023-12-01,-0.38,0.52,-0.9
2023-12-11,2023-12-08,0.37,0.3,0.07
2023-12-18,2023-12-15,0.48,-0.03,0.51
2024-01-08,2024-01-05,0.65,-0.11,0.76
2024-01-22,2024-01-19,0.88,1.07,-0.19
2024-01-29,2024-01-26,0.29,0.21,0.08
2024-02-05,2024-02-02,-0.08,1.26,-1.34
2024-02-12,2024-02-09,0.35,0.43,-0.08
2024-02-26,2024-02-23,-0.25,0.59,-0.84
2024-03-04,2024-03-01,0.41,0.66,-0.25
2024-03-11,2024-03-08,-0.88,0.13,-1.01
2024-03-18,2024-03-15,0.78,-0.57,1.35
2024-03-25,2024-03-22,-0.29,-0.25,-0.04
