Date,Value,Day of week,Percent change
2022-08-30,4005.1,1,-0.87
2022-08-31,3984.95,2,-0.5
2022-09-01,3936.94,3,-1.2
2022-09-02,3962.32,4,0.64
2022-09-06,3914.65,1,-1.2
2022-09-07,3946.96,2,0.83
2022-09-08,3977.66,3,0.78
2022-09-09,4049.88,4,1.82
2022-09-12,4101.48,0,1.27
2022-09-13,3979.2,1,-2.98
2022-09-14,3937.06,2,-1.06
2022-09-15,3923.71,3,-0.34
2022-09-16,3859.02,4,-1.65
2022-09-19,3869.48,0,0.27
2022-09-20,3851.78,1,-0.46
2022-09-21,3848.28,2,-0.09
2022-09-22,3770.18,3,-2.03
2022-09-23,3687.3,4,-2.2
2022-09-26,3680.22,0,-0.19
2022-09-27,3670.41,1,-0.27
2022-09-28,3688.68,2,0.5
2022-09-29,3648.7,3,-1.08
2022-09-30,3627.78,4,-0.57
2022-10-03,3651.64,0,0.66
2022-10-04,3759.19,1,2.95
2022-10-05,3764.78,2,0.15
2022-10-06,3768.58,3,0.1
2022-10-07,3663.73,4,-2.78
2022-10-10,3620.14,0,-1.19
2022-10-11,3604.56,1,-0.43
2022-10-12,3591.1,2,-0.37
2022-10-13,3588.5,3,-0.07
2022-10-14,3645.84,4,1.6
2022-10-17,3664.19,0,0.5
2022-10-18,3724.66,1,1.65
2022-10-19,3697.54,2,-0.73
2022-10-20,3696.22,3,-0.04
2022-10-21,3702.66,4,0.17
2022-10-24,3776.2,0,1.99
2022-10-25,3831.14,1,1.45
2022-10-26,3855.11,2,0.63
2022-10-27,3831.87,3,-0.6
2022-10-28,3856.84,4,0.65
2022-10-31,3878.46,0,0.56
2022-11-01,3877.8,1,-0.02
2022-11-02,3826.56,2,-1.32
2022-11-03,3724.37,3,-2.67
2022-11-04,3752.59,4,0.76
2022-11-07,3789.32,0,0.98
2022-11-08,3822.84,1,0.88
2022-11-09,3781.21,2,-1.09
2022-11-10,3909.11,3,3.38
2022-11-11,3973.15,4,1.64
2022-11-14,3982.68,0,0.24
2022-11-15,3991.0,1,0.21
2022-11-16,3968.72,2,-0.56
2022-11-17,3930.44,3,-0.96
2022-11-18,3957.94,4,0.7
2022-11-21,3947.67,0,-0.26
2022-11-22,3981.38,1,0.85
2022-11-23,4016.22,2,0.88
2022-11-25,4027.39,4,0.28
2022-11-28,3984.02,0,-1.08
2022-11-29,3957.21,1,-0.67
2022-11-30,4009.34,2,1.32
2022-12-01,4075.69,3,1.65
2022-12-02,4053.56,4,-0.54
2022-12-05,4018.47,0,-0.87
2022-12-06,3959.95,1,-1.46
2022-12-07,3940.12,2,-0.5
2022-12-08,3955.01,3,0.38
2022-12-09,3955.03,4,0.0
2022-12-12,3963.0,0,0.2
2022-12-13,4047.0,1,2.12
2022-12-14,4009.7,2,-0.92
2022-12-15,3918.91,3,-2.26
2022-12-16,3859.41,4,-1.52
2022-12-19,3827.45,0,-0.83
2022-12-20,3816.93,1,-0.27
2022-12-21,3864.66,2,1.25
2022-12-22,3808.88,3,-1.44
2022-12-23,3821.4,4,0.33
2022-12-27,3829.94,1,0.22
2022-12-28,3814.55,2,-0.4
2022-12-29,3831.82,3,0.45
2022-12-30,3820.1,4,-0.31
2023-01-03,3836.4,1,0.43
2023-01-04,3844.46,2,0.21
2023-01-05,3821.08,3,-0.61
2023-01-06,3857.88,4,0.96
2023-01-09,3920.5,0,1.62
2023-01-10,3898.56,1,-0.56
2023-01-11,3949.3,2,1.3
2023-01-12,3967.66,3,0.46
2023-01-13,3975.81,4,0.21
2023-01-17,3999.98,1,0.61
2023-01-18,3970.38,2,-0.74
2023-01-19,3904.24,3,-1.67
2023-01-20,3935.41,4,0.8
2023-01-23,4005.48,0,1.78
2023-01-24,4006.86,1,0.03
2023-01-25,3984.3,2,-0.56
2023-01-26,4037.43,3,1.33
2023-01-27,4071.46,4,0.84
2023-01-30,4039.7,0,-0.78
2023-01-31,4048.8,1,0.23
2023-02-01,4093.08,2,1.09
2023-02-02,4168.66,3,1.85
2023-02-03,4152.86,4,-0.38
2023-02-06,4109.0,0,-1.06
2023-02-07,4132.46,1,0.57
